#  g  ml cal prot fat carb fiber
# Oils
  100   110   884   0.00 100.00   0.00   0.00 oil
  100   110   884   0.00 100.00   0.00   0.00 vegetable oil
  100   110   884   0.00 100.00   0.00   0.00 canola oil
  100   111   884   0.00 100.00   0.00   0.00 evoo
  100   111   884   0.00 100.00   0.00   0.00 olive oil
   -2     0    15   0.00   2.00   0.00   0.00 olive oil spray
   -2     0    15   0.00   2.00   0.00   0.00 evoo spray
# Poultry
  -55     0   135  13.67   8.45   0.00   0.00 small chicken thigh
  -62     0   152  15.41   9.52   0.00   0.00 medium chicken thigh
  -84     0   206  20.87  12.90   0.00   0.00 large chicken thigh
  -46     0    95  11.83   4.96   0.00   0.00 small skinned chicken thigh
  -52     0   108  13.37   5.61   0.00   0.00 medium skinned chicken thigh
  -70     0   145  18.00   7.55   0.00   0.00 large skinned chicken thigh
  -92     0   212  23.68  12.28   0.00   0.00 small chicken leg
 -112     0   258  28.83  14.95   0.00   0.00 medium chicken leg
 -146     0   336  37.58  19.49   0.00   0.00 large chicken leg
  -81     0   153  21.71   6.77   0.00   0.00 small skinned chicken leg
  -94     0   178  25.19   7.86   0.00   0.00 medium skinned chicken leg
 -128     0   242  34.30  10.70   0.00   0.00 large skinned chicken leg
  -32     0    92   8.52   6.18   0.00   0.00 chicken wing
  100     0   230  25.74  13.35   0.00   0.00 chicken leg
  100     0   245  24.85  15.36   0.00   0.00 chicken thigh
  200     0   475  50.59  28.71   0.00   0.00 chicken quarter
  -20     0    40   6.04   1.61   0.00   0.00 skinned chicken wing
  100     0   207  25.72  10.79   0.00   0.00 skinned chicken thigh
  100     0   189  26.80   8.36   0.00   0.00 skinned chicken leg
  100     0   195  29.55   7.72   0.00   0.00 chicken breast
  -84     0   164  24.82   6.48   0.00   0.00 small chicken breast
  -98     0   191  28.96   7.57   0.00   0.00 medium chicken breast
 -111     0   216  32.80   8.57   0.00   0.00 large chicken breast
  100     0   237  30.42  11.89   0.00   0.00 chicken meat
  135   240   148  31.17   1.67   0.00   0.00 diced cooked chicken
  100     0   110  23.09   1.24   0.00   0.00 cooked chicken
  135   240   148  31.17   1.67   0.00   0.00 diced chicken breast
  140   240   332  42.59  16.65   0.00   0.00 diced chicken
  -37     0    54   4.65   3.68   0.28   0.00 small egg
  -44     0    65   5.54   4.37   0.34   0.00 medium egg
  -50     0    74   6.29   4.97   0.38   0.00 large egg
  -58     0    85   7.30   5.77   0.45   0.00 extra large egg
  -65     0    96   8.18   6.46   0.50   0.00 jumbo egg
  243   240   357  30.57  24.15   1.87   0.00 egg
  242   240   126  26.49   0.41   1.77   0.00 egg whites
  243   240   782  38.54  64.49   8.72   0.00 egg yolks
  136   240   211  17.11  14.53   1.52   0.00 chopped egg
# Fish
  100     0   183  19.90  10.85   0.00   0.00 salmon
  100     0    96  20.08   1.70   0.00   0.00 tilapia
  100     0   211  10.84   8.25   0.50   0.00 cod
  100     0    84  17.76   0.92   0.00   0.00 fish
  100     0   110  20.81   2.29   0.00   0.00 halibut
  100     0   134  19.09   5.86   0.00   0.00 whitefish
  115   240   166  31.73   2.70   1.43   0.00 shrimp
  100     0    97  20.33   0.58   1.27   0.00 lobster
  100     0   108  23.38   0.95   0.00   0.00 tuna
  113     0   100  23.00   0.50   0.00   0.00 canned tuna
  154   240   179  39.29   1.26   0.00   0.00 canned white tuna
  113     0   130  29.00   1.00   0.00   0.00 canned albacore tuna
  100     0   121  19.80   4.01   0.00   0.00 swordfish
  100     0   148  20.77   6.61   0.00   0.00 trout
  100     0   217  18.14  10.96  10.49   0.50 scallops
# Meat
  100     0   254  17.17  20.00   0.00   0.00 ground beef
  100     0   332  14.35  30.00   0.00   0.00 ground beef 30%
  100     0   254  17.17  20.00   0.00   0.00 ground beef 20%
  100     0   215  18.59  15.00   0.00   0.00 ground beef 15%
  100     0   176  20.00  10.00   0.00   0.00 ground beef 10%
  112     0   170  23.00   8.00   0.00   0.00 ground beef 7%
  100     0   137  21.41   5.00   0.00   0.00 ground beef 5%
  100     0   251  27.40  14.84   0.00   0.00 steak
  100     0   252  27.29  15.01   0.00   0.00 beef steak
  100     0   247  19.61  18.16   0.00   0.00 beef tenderloin
  100     0   149  21.72   6.29   0.00   0.00 flank steak
  100     0   292  24.32  20.77   0.00   0.00 lamb
  100     0   314  22.03  24.37   0.00   0.00 lamb chop
  100     0   263  16.88  21.19   0.00   0.00 ground pork
  100     0   271  27.34  17.04   0.00   0.00 pork
  100     0   136  20.54   5.41   0.00   0.00 pork loin
  100     0   250  27.91  14.57   0.00   0.00 pork chop
# Dairy
  244   240   122   8.05   4.81  11.42   0.00 milk
  244   240   122   8.05   4.81  11.42   0.00 milk 2%
  243   240   102   8.22   2.37  12.18   0.00 milk 1%
  246   240    86   8.35   0.44  11.88   0.00 milk 0%
  244   240   122   8.05   4.81  11.42   0.00 milk 2%
  243   240   146   7.86   7.93  11.03   0.00 whole milk
  246   240    86   8.35   0.44  11.88   0.00 skim milk
  245   240    98   8.11   2.16  11.74   0.00 buttermilk
  128   240   635  33.69  34.19  49.18   0.00 dry milk
  128   240   635  34.00  34.00  49.00   0.00 milk powder
  240   240   281   9.73  22.06  12.10   0.00 greek yogurt
  244   240   154  12.86   3.80  17.25   0.00 yogurt
  306   240   982  24.20  26.62 166.46   0.00 condensed milk
  243   240   168   8.56   9.52  12.61   0.00 evaporated milk
  227   240  1628   1.93 184.12   0.14   0.00 butter
 -113     0   810   0.96  91.65   0.07   0.00 butter stick
  227   240  1630   2.00 183.19   1.48   0.00 canola oil butter
   14    15    90   0.00  10.00   0.00   0.00 olive oil butter
  227   240  1628   1.93 184.12   0.14   0.00 garlic butter
 -113     0   810   0.96  91.65   0.07   0.00 garlic butter stick
  205   240  1796   0.57 203.93   0.00   0.00 ghee
   14    15    60   0.00   7.00   0.00   0.00 imperial margarine
  229   240  1205   1.37 135.50   0.00   0.00 margarine
  230   240   492   7.27  48.21   9.82   0.00 sour cream
  242   240   315   7.16  27.83  10.41   0.00 half and half
  242   240   315   7.16  27.83  10.41   0.00 half & half
  238   240   821   4.88  88.06   6.64   0.00 heavy cream
  244   240   110   8.00   4.50   9.00   2.00 soy milk
  244   240    80   7.00   4.50   4.00   2.00 soy milk unsweet
  244   240    60   1.00   2.50   8.00   0.00 almond milk
  244   240    30   1.00   3.00   1.00   0.00 almond milk unsweet
  244   240    70   0.00   5.00   6.00   0.00 coconut milk
  244   240    40   0.00   4.00   2.00   0.00 coconut milk unsweet
  244   240    25   1.00   2.00   1.00   0.00 cashew milk unsweet
# Cheese
  100     0   337  18.94  26.05   6.94   0.00 american cheese
  -19     0    50   3.00   3.50   2.00   0.00 american cheese slice
  -19     0    70   3.00   6.00   1.00   0.00 american deli slice
  113   240   381  21.40  29.44   7.84   0.00 shredded american cheese
  113   240   381  21.40  29.44   7.84   0.00 shredded cheese
  100     0   380  26.93  27.80   5.38   0.00 swiss cheese
