fdc_id	g	ml	desc	comment
167512	 34.00	  0.00	serving	
167513	 44.00	  0.00	serving 1 roll with icing	
167514	 28.00	  0.00	serving	
167515	 57.00	  0.00	serving	
167516	 39.00	  0.00	waffle, square	
167516	 38.00	  0.00	waffle, round	
167517	 33.00	  0.00	waffle round	4" dia
167518	 35.00	  0.00	waffle	
167519	 32.00	  0.00	waffle, round	4"dia
167520	183.00	  0.00	crust	
167521	182.00	  0.00	crust	
167522	131.00	  0.00	0.12x pie 1 pie	1/8 of 9" pie
167522	137.00	  0.00	slice	
167522	1137.00	  0.00	pie	
167523	225.00	  0.00	pie crust	average weight
167524	 70.00	  0.00	2x waffles	
167525	 12.30	  0.00	piece	
167525	 37.00	  0.00	3x pieces	mean serving weight, aggregated over brands
167526	 55.00	  0.00	serving	approximate serving size
167526	399.00	  0.00	cake square	average weight of whole item
167527	 55.00	  0.00	serving	
167527	622.00	  0.00	cake square	
167528	 86.00	  0.00	piece	
167529	 30.00	  0.00	serving	1 NLEA serving - about 4 crackers
167529	 12.70	  0.00	cracker	
167530	 31.00	  0.00	11x crackers	1 NLEA serving
167530	  3.10	  0.00	cracker	
167531	 32.00	  0.00	10x crackers	1 NLEA serving
167531	  3.10	  0.00	cracker	
167532	 28.00	  0.00	slice	
167533	 98.00	  0.00	bagel	
167535	 49.00	  0.00	tortilla	
167535	484.00	  0.00	package	
167536	 20.00	  0.00	piece, large	
167537	198.00	  0.00	bag	7 oz
167538	198.00	  0.00	bag	7 oz
167540	 27.00	  0.00	package	
167540	 21.00	  0.00	packet	.75 oz
167541	 21.00	  0.00	large	
167541	 14.00	  0.00	small	
167542	 21.00	  0.00	bar	
167542	 28.00	  0.00	bar	1 oz
167542	 25.00	  0.00	bar	
167543	 24.00	  0.00	bar	
167544	 43.00	  0.00	bar	1.5 oz
167544	 28.00	  0.00	bar	1 oz
167545	 35.00	  0.00	bar	1.25 oz
167545	 28.00	  0.00	bar	1 oz
167546	 40.00	  0.00	serving	
167547	 37.00	  0.00	bar	
